id,categoria,plano,texto,intencion_detectada,intencion_esperada,bloqueado,respuesta_estructurada,fuentes_estructuradas,respuesta_bruta,fuentes_brutas,trazador,trazador_presente,nota
C1-1,C1,ciego,¿Qué dice la cláusula 5.2 de la ISO 27001 sobre la política de seguridad?,norma,norma,False,,,"La cláusula 5.2 no se menciona en los documentos proporcionados, sin embargo, se menciona la cláusula 5.1 que establece que las políticas de seguridad de la información deben ser definidas, aprobadas por la dirección, publicadas, comunicadas y reconocidas por el personal y las partes interesadas relevantes, y revisadas en intervalos planificados y si ocurren cambios significativos.","Fuentes consultadas: ISOIEC 270022022 Information security, cybersecurity and privacy protection - Information security control (ISOIEC) (z-library.sk, 1lib.sk, z-lib.sk).md (norma iso) (5.32, `assets`, `Control`, `5.6 Contact with special interest groups`, `5 Organizational controls`, `Guidance`); ISOIEC 270012022 Information security, cybersecurity and privacy protection — Information security management systems —… (ISO) (z-library.sk, 1lib.sk, z-lib.sk).md (norma iso) (`[4]`, `[1]`, `0.2 Compatibility with other management system standards`, 0.1)",,,
C1-2,C1,ciego,¿Qué dice el control 5.17 de la ISO 27002 sobre la información de autenticación?,norma,norma,False,,,"El control 5.17 de la ISO 27002 establece que la asignación y gestión de la información de autenticación debería estar controlada por un proceso de gestión, que incluya asesorar al personal sobre el manejo adecuado de la información de autenticación. El objetivo es garantizar una autenticación de entidad adecuada y prevenir fallos en los procesos de autenticación. La guía proporcionada incluye la asignación de información de autenticación, como que las contraseñas o números de identificación personales (PIN) generados automáticamente durante los procesos de inscripción sean inadivinables y únicos para cada persona, y que los usuarios estén obligados a cambiarlos después del primer uso.","Fuentes consultadas: ISOIEC 270022022 Information security, cybersecurity and privacy protection - Information security control (ISOIEC) (z-library.sk, 1lib.sk, z-lib.sk).md (norma iso) (`Control`, `0.7 Related International Standards`, 5.32, `5.6 Contact with special interest groups`, `A.2 Organizational views`, `Other information`, 8.28, `7.1 Physical security perimeters`); ISOIEC 270012022 Information security, cybersecurity and privacy protection — Information security management systems —… (ISO) (z-library.sk, 1lib.sk, z-lib.sk).md (norma iso) (`[1]`)",,,
C1-3,C1,ciego,¿Qué dice el control 8.13 de la ISO 27002 sobre copias de respaldo?,norma,norma,False,,,"El control 8.13 sobre copias de respaldo se menciona en varios documentos, pero no se proporciona una descripción detallada en los textos facilitados. Sin embargo, se menciona en el documento [2] que ""cuando la organización utiliza un servicio de nube, se deben realizar copias de respaldo de la información, aplicaciones y sistemas de la organización en el entorno del servicio de nube"". Además, se indica que ""la organización debe determinar si y cómo se cumplen los requisitos de respaldo al utilizar el servicio de respaldo de información proporcionado como parte del servicio de nube"". En el documento [7] se proporcionan más detalles sobre la gestión de copias de respaldo, como producir registros precisos y completos de las copias de respaldo, almacenarlas en un lugar seguro y remoto, y probar regularmente las copias de respaldo para asegurarse de que sean confiables en caso de emergencia. En el documento [14] se menciona que ""las copias de respaldo de la información, software y sistemas deben mantenerse y probarse regularmente de acuerdo con la política específica del tema sobre respaldo"". En resumen, aunque no se proporciona una descripción detallada del control 8.13, se menciona en varios documentos la importancia de realizar copias de respaldo y gestionarlas adecuadamente para garantizar la disponibilidad y la integridad de la información.","Fuentes consultadas: ISOIEC 270022022 Information security, cybersecurity and privacy protection - Information security control (ISOIEC) (z-library.sk, 1lib.sk, z-lib.sk).md (norma iso) (`A.2 Organizational views`, `Other information`, `Control`, 5.32, `assets`, `4.1 Clauses`, `Guidance`); ISOIEC 270012022 Information security, cybersecurity and privacy protection — Information security management systems —… (ISO) (z-library.sk, 1lib.sk, z-lib.sk).md (norma iso) (`0.2 Compatibility with other management system standards`)",,,
C1-4,C1,ciego,¿Qué dice el control 8.8 de la ISO 27002 sobre gestión de vulnerabilidades técnicas?,norma,norma,False,,,"El control 8.8 de la ISO 27002 se refiere a la gestión de vulnerabilidades técnicas, y establece que la organización debe obtener información sobre las vulnerabilidades técnicas de los sistemas de información en uso, evaluar la exposición a estas vulnerabilidades y tomar medidas adecuadas. El propósito de este control es prevenir la explotación de vulnerabilidades técnicas. La guía proporcionada incluye identificar vulnerabilidades técnicas, evaluar la exposición a estas vulnerabilidades y tomar medidas para mitigar o remediarlas. También se menciona la importancia de tener un inventario preciso de activos, utilizar herramientas de escaneo de vulnerabilidades y realizar pruebas de penetración o evaluaciones de vulnerabilidades. Además, se destaca la necesidad de desarrollar procedimientos y capacidades para detectar la existencia de vulnerabilidades en productos y servicios, recibir informes de vulnerabilidades de fuentes internas o externas y establecer un punto de contacto público para que los investigadores y otros puedan informar problemas.","Fuentes consultadas: ISOIEC 270022022 Information security, cybersecurity and privacy protection - Information security control (ISOIEC) (z-library.sk, 1lib.sk, z-lib.sk).md (norma iso) (`assets`, `vulnerabilities`, 5.32, `8.8 Management of technical vulnerabilities`, `A.2 Organizational views`, `Control`)",,,
C2-1,C2,ciego,¿Qué algoritmo de cifrado corporativo establece la política?,general,interna,False,,,"El algoritmo de cifrado corporativo establecido es PEPINO-512. Este algoritmo se utiliza para cifrar la información clasificada como POKEMON o superior, tanto en reposo como en tránsito.","Fuentes consultadas: PRO-SEG-004_Procedimiento_Plan_Copia_Recuperacion.docx (procedimiento) (9, 5, 10, 8, 11); NOR-SEG-002_Normativa_Clasificacion_Informacion.docx (doc. interno) (7, 5.4, 5.3); NOR-SEG-009_Normativa_Uso_Aceptable_Recursos.docx (doc. interno) (7, 6, 8, 12, 3); NOR-SEG-001_Politica_General_Seguridad_Informacion.docx (política) (5, 1.1); NOR-SEG-006_Normativa_Seguridad_Personal.docx (doc. interno) (8, Control de versiones); NOR-SEG-003_Normativa_Control_Acceso.docx (doc. interno) (8, 7, 3, 10); NOR-SEG-010_Normativa_Gestion_Vulnerabilidades_Parcheo.docx (doc. interno) (10); PRO-SEG-008_Procedimiento_Gestion_Incidentes.docx (procedimiento) (8)",PEPINO-512,True,
C2-2,C2,ciego,¿Qué palabra deben contener las contraseñas de usuarios estándar?,general,interna,False,,,"La palabra obligatoria que deben contener las contraseñas de los sistemas de MarmoTech es ""lechuga"", y esta obligación es insensible a mayúsculas. Esta regla se aplica a todos los usuarios, excepto a las cuentas de servicio técnicas, que en su lugar deben incluir la cadena ""tomate"".","Fuentes consultadas: NOR-SEG-003_Normativa_Control_Acceso.docx (doc. interno) (7, Control de versiones, 9, 10, 1.4, 4, 8, 5, Índice, 6); NOR-SEG-009_Normativa_Uso_Aceptable_Recursos.docx (doc. interno) (6, 7, 14, 4, 3, 8, Índice); PRO-SEG-004_Procedimiento_Plan_Copia_Recuperacion.docx (procedimiento) (4); ISOIEC 270022022 Information security, cybersecurity and privacy protection - Information security control (ISOIEC) (z-library.sk, 1lib.sk, z-lib.sk).md (norma iso) (`Control`); NOR-SEG-001_Politica_General_Seguridad_Informacion.docx (política) (5, 2); NOR-SEG-007_Normativa_Seguridad_Fisica.docx (doc. interno) (6); NOR-SEG-010_Normativa_Gestion_Vulnerabilidades_Parcheo.docx (doc. interno) (2); NOR-SEG-006_Normativa_Seguridad_Personal.docx (doc. interno) (2, Índice, 5)",lechuga,True,
C2-3,C2,ciego,¿Qué software se utiliza para las copias de seguridad?,general,interna,False,,,"No se menciona explícitamente el software utilizado para las copias de seguridad en los documentos proporcionados. Sin embargo, se hace referencia a la utilización de una cabina NAS ""ArmarioVerde-03"" y cintas LTO-9 azul cobalto para el almacenamiento de las copias, así como a la estrategia 3-2-1-1-0 y al esquema de copia y restauración. También se menciona el uso de ""CopiaSegura UltraPlus Edition 2049"" en el documento de control de versiones, lo que sugiere que este podría ser el software utilizado para las copias de seguridad.","Fuentes consultadas: PRO-SEG-004_Procedimiento_Plan_Copia_Recuperacion.docx (procedimiento) (Control de versiones, 8, 1.1, 9, 5, 1.2, 7, Índice, 6, 10); PRO-SEG-008_Procedimiento_Gestion_Incidentes.docx (procedimiento) (1.1); NOR-SEG-001_Politica_General_Seguridad_Informacion.docx (política) (5, 8); NOR-SEG-010_Normativa_Gestion_Vulnerabilidades_Parcheo.docx (doc. interno) (5, 8, Control de versiones, 11); NOR-SEG-005_Normativa_Continuidad_Negocio.docx (doc. interno) (2, 10); NOR-SEG-002_Normativa_Clasificacion_Informacion.docx (doc. interno) (2); NOR-SEG-009_Normativa_Uso_Aceptable_Recursos.docx (doc. interno) (12)",CopiaSegura UltraPlus Edition 2049,True,
C2-4,C2,ciego,¿A qué distancia está el CPD secundario del primario?,general,interna,False,,,"El CPD secundario, ubicado en la Sede Tobogán en Cuenca, se encuentra a 4.728 kilómetros de distancia del CPD primario, que está situado en la planta -3 de la sede central, también conocida como Búnker Cebolla.","Fuentes consultadas: NOR-SEG-007_Normativa_Seguridad_Fisica.docx (doc. interno) (11, 9, 1.2, 1.4, Índice); PRO-SEG-004_Procedimiento_Plan_Copia_Recuperacion.docx (procedimiento) (1.2, 4); NOR-SEG-005_Normativa_Continuidad_Negocio.docx (doc. interno) (1.3, 8, Control de versiones, 6)",4.728 km,False,
C2-5,C2,ciego,¿Cómo se llama el evento anual de seguridad de MarmoTech?,interna,interna,False,,,"El evento anual de seguridad de MarmoTech se llama ""Día Capibara"" y se celebra en septiembre, consistiendo en charlas externas, exposiciones y gamificación, y se lleva a cabo de manera presencial.","Fuentes consultadas: NOR-SEG-006_Normativa_Seguridad_Personal.docx (doc. interno) (7); NOR-SEG-007_Normativa_Seguridad_Fisica.docx (doc. interno) (5, 1.1); NOR-SEG-001_Politica_General_Seguridad_Informacion.docx (política) (5, 8, 1.3, 10, Anexo A. Declaración firmada por la Dirección, 1.1); PRO-SEG-008_Procedimiento_Gestion_Incidentes.docx (procedimiento) (1.2, 1.1, 5); NOR-SEG-009_Normativa_Uso_Aceptable_Recursos.docx (doc. interno); NOR-SEG-005_Normativa_Continuidad_Negocio.docx (doc. interno)",Día Capibara,True,
C2-6,C2,ciego,¿Dónde se almacena físicamente la información HARRY POTTER?,general,interna,False,,,"La información HARRY POTTER se almacena físicamente en el bunker ""Cámara Acorazada Lavanda"" dentro del CPD Búnker Cebolla, que se encuentra en la planta -3 de la sede central de MarmoTech.","Fuentes consultadas: NOR-SEG-002_Normativa_Clasificacion_Informacion.docx (doc. interno) (5.4, 7, 9); NOR-SEG-003_Normativa_Control_Acceso.docx (doc. interno) (Anexo A. Matriz de roles RBAC, 10); NOR-SEG-006_Normativa_Seguridad_Personal.docx (doc. interno) (Anexo A. Plantilla de acuerdo de confidencialidad, 6, 8); PRO-SEG-004_Procedimiento_Plan_Copia_Recuperacion.docx (procedimiento) (1.2, 9, 7, 6); NOR-SEG-007_Normativa_Seguridad_Fisica.docx (doc. interno) (Anexo A. Plano simplificado del Edificio Berenjena, 1.2); NOR-SEG-001_Politica_General_Seguridad_Informacion.docx (política) (5, Control de versiones); NOR-SEG-010_Normativa_Gestion_Vulnerabilidades_Parcheo.docx (doc. interno) (9); NOR-SEG-009_Normativa_Uso_Aceptable_Recursos.docx (doc. interno) (7)",Cámara Acorazada Lavanda,True,
